MasterObjectID,objectid,parentid,location,mining_district,identifier,additional_locations,objecttype_name,objectsubtype_name,author,maptype_name,title,description,date,type_name,format_id,source_name,identifier_name,language_name,rights_name,rights_link,display_name,object_location,image_small,image_thumb,subject
131,bea002,,Night Owl,Bloody Dick,001-02-01,,Map,Map,,Survey Map,"Survey Map of Silver Bow, Night Owl, and Baltic Claims in Beaverhead County","Survey Map of T9/10 South Range 14 West and Sections 32,33/ 4,5",,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_02_01_Beaverhead_Location_T9_10S_R14W_Silver_Bow_Night_Owl_Baltic.jpg,/objects/small/001_02_01_beaverhead_location_t9_10s_r14w_silver_bow_night_owl_baltic_sm.jpg,/objects/thumbs/001_02_01_beaverhead_location_t9_10s_r14w_silver_bow_night_owl_baltic_th.jpg,Underground Map; Abandoned
132,bea003,,Night Owl,Bloody Dick,001-02-02,,Map,Survey,Lloyd G. Gage,Survey Map,"Preliminary Plat Survey No. 9273 Map of Silver Bow, Night Owl, and Baltic Claims in Beaverhead County","Survey of Silver Bow, Baltic, and Night Owl Claims with lode lines",9/26/1911,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,No Copyright,https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,/objects/001_02_02_Beaverhead_Location_Survey_9273_Silver_Bow_Night_Owl_Baltic.jpg,/objects/small/001_02_02_beaverhead_location_survey_9273_silver_bow_night_owl_baltic_sm.jpg,/objects/thumbs/001_02_02_beaverhead_location_survey_9273_silver_bow_night_owl_baltic_th.jpg,Abandoned
133,bea004,,Saginaw,Saginaw,001-02-03,,Map,Survey,Robert F. Scott,Survey Map,Survey No. 9860 T7S R15 W Section 16 Saginaw Lode,Survey No. 9860 T7S R15 W Section 16 Saginaw Lode U.S Mineral Survey,12/13/1915,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,No Copyright,https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,/objects/001_02_03_Beaverhead_Location_Saginaw_Lode_Survey_9860_1915_Page_1.jpg,/objects/small/001_02_03_beaverhead_location_saginaw_lode_survey_9860_1915_page_1_sm.jpg,/objects/thumbs/001_02_03_beaverhead_location_saginaw_lode_survey_9860_1915_page_1_th.jpg,Survey Map; Abandoned
150,bea005,,Thistle,Argenta,001-02-04,,Map,Survey,Robert F. Scott,Survey Map,"Frac. T 7 S, R 15 W ","Survey of Saginaw, including Sections 9, 10, 15, 16 by the U.S. Mineral Monument No. 9860",12/12/1915,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,No Copyright,https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,/objects/001_02_04_Beaverhead_Location_Fract_T7S_R15W_US_Mineral_Monument_9860_R_F_Scott_1915.jpg,/objects/small/001_02_04_beaverhead_location_fract_t7s_r15w_us_mineral_monument_9860_r_f_scott_1915_sm.jpg,/objects/thumbs/001_02_04_beaverhead_location_fract_t7s_r15w_us_mineral_monument_9860_r_f_scott_1915_th.jpg,Abandoned
158,bea006,,Thistle,Argenta,,,Map,Survey,Robert F. Scott,Survey Map,"Survey No. 9860 U.S Mineral Monument Fract. T7 S, R15 W","Surveyed but not yet approved by the U.S. Mineral Surveyor of section 9, 10, and 15, 16",12/12/1915,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,No Copyright,https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,/objects/001_02_06_Beaverhead_Location_Plat_Survey_9847_E_J_Ripley_1917.jpg,/objects/small/001_02_06_beaverhead_location_plat_survey_9847_e_j_ripley_1917_sm.jpg,/objects/thumbs/001_02_06_beaverhead_location_plat_survey_9847_e_j_ripley_1917_th.jpg,Underground Map;Lode
49,bea001,,Idanha,Elkhorn,001-02-06,Boston No. 2; Aspen No. 2; Idanha No. 2; Red Top No. 2; Red Top; Idanha; Aspen; Boston; Grotto; Dubious; White Seal Fraction: Leap Year; Central,Map,Survey,Henry Gerharz,Survey Map,Mineral Survey 9847,"Mineral Survey of 9847 claims known as the Boston No. 2, Aspen No. 2, Idanha No. 2, Red Top No. 2, Red Top, Idanha, Aspen, Boston, Grotto, Dubious, White Seal Fraction, Leap Year, and Central Lodes",2/28/1917,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,No Copyright,https://rightsstatements.org/page/NoC-US/1.0/?language=en,image,/objects/001_03_02_Beaverhead_Location_Carroll_Placer_Survey_4042_Melrose_District_T1S_R10W.jpg,/objects/small/001_03_02_beaverhead_location_carroll_placer_survey_4042_melrose_district_t1s_r10w_sm.jpg,/objects/thumbs/001_03_02_beaverhead_location_carroll_placer_survey_4042_melrose_district_t1s_r10w_th.jpg,Discovery; Mining; Claim Map; Location Map; Subsurface Map; Underground Map; Lode; Edgar J Strasburger; Henry Gerharz
620,bea038,,Carroll Placer,Quartz Hill; Melrose,,,Map,Survey,,Survey Map,Carroll Placer Survey ,"Survey No. 4042 with other properties listed over placer. Located in Melrose District at T1S, R10W and landmarks of a street and river.",,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_03_03_Beaverhead_Location_Carroll_Placer_Survey_4042.jpg,/objects/small/001_03_03_beaverhead_location_carroll_placer_survey_4042_sm.jpg,/objects/thumbs/001_03_03_beaverhead_location_carroll_placer_survey_4042_th.jpg,Abandoned
621,bea039,,Carroll Placer,Quartz Hill,,,Map,Survey,,Survey Map,Carroll Placer Survey Lat Long Notes,"Survey No. 4042 with extra longitudinal notes, properties over the placer with owner names.",,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_03_07_Beaverhead_Underground_Cross_Sec_North_Half_Proposed_Exploration_Hand_Mine_1955.jpg,/objects/small/001_03_07_beaverhead_underground_cross_sec_north_half_proposed_exploration_hand_mine_1955_sm.jpg,/objects/thumbs/001_03_07_beaverhead_underground_cross_sec_north_half_proposed_exploration_hand_mine_1955_th.jpg,Abandoned
288,bea007,,Hand Mine,Argenta,001-03-07,,Map,Map,,Cross Section,"North Half Plan Proposed Exploration at Hand Mine Dillon, Montana",Cross Section N54070 of Drill Holes submitted to DMEA,6/1/1955,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_03_08_Beaverhead_Hand_Mine_Geochem_Argenta_District_Surface_and_Underground_1969.jpg,/objects/small/001_03_08_beaverhead_hand_mine_geochem_argenta_district_surface_and_underground_1969_sm.jpg,/objects/thumbs/001_03_08_beaverhead_hand_mine_geochem_argenta_district_surface_and_underground_1969_th.jpg,Exploration;Cross Section;Abandoned;
289,bea008,,Hand Mine,Argenta,001-03-08,,Map,Map,,Geochemical Map,Hand Mine Geochem Map 1969,"Geochemical including Surface soil samples, rock samples, and underground rock samples focusing on lead, copper, and zinc",1/17/1969,Image;StillImage,image/jpeg,MBMG Archives,mbmg217,en,In Copyright,https://rightsstatements.org/page/InC-EDU/1.0/?language=en,image,/objects/001_03_09_Beaverhead_Assay_Underground_Composite_Producing_Structures_Hand_Mind_1966.jpg,/objects/small/001_03_09_beaverhead_assay_underground_composite_producing_structures_hand_mind_1966_sm.jpg,/objects/thumbs/001_03_09_beaverhead_assay_underground_composite_producing_structures_hand_mind_1966_th.jpg,Copper; Lead; Zinc;Sampling;Geochemical Map; Sample Map;Abandoned;
